,title,rating,review,address,user_id
931,Mövenpick Hotel Ankara,2.7,1,"Beştepeler Mah. Yaşam Cad. No: 1 Söğütözü, Ankara 6520 Türkiye",3
2902,Atalay Hotel,2.9,52,"Çankırı Cad. No 20, Ankara 06030 Türkiye",1
2814,Hotel Ergen,1.9,6,"Karanfil Sok. No:48 Kızılay, Çankaya, Ankara 06420 Türkiye",2
1488,Hotel Ayma,2.1,13,"Meşrutiyet Cad. No:25 Kızılay, Çankaya, Ankara Türkiye",2
2160,Erk Otel,2.4,1,"Menekşe Sok. No:27 Kızılay, Çankaya, Ankara Türkiye",6
2153,Otto Loft Premium Apartments,2.0,2,"Maltepe Mah. Özveren Sokak 23 Cankaya, Ankara 06570 Türkiye",9
1359,Nesta Boutique Hotel,3.1,19,"Ugur Mumcu Cad. Kiz Kulesi Sok. No 36, Ankara 06610 Türkiye",3
2682,Royal Anka Hotel Cankaya,3.5,1,"Bayraktar Mah. Bayrakly Sok. no:35, Ankara Türkiye",10
447,Evkuran Hotel,2.6,7,"Ziya Gokalp Cad, Mediha Eldem Sok 40, Ankara Türkiye",8
424,YV Boutique Hotel,3.3,8,"Zuhtu Tigrel Caddesi No: 3 Oran, Ankara 06450 Türkiye",5
238,Cankaya Premium Hotel,3.3,1,"Yildiz Evler Mahallesi 708, Cadde No 15 Cankaya, Ankara 06550 Türkiye",8
2525,Ibis Ankara Airport Hotel,2.7,190,"Ozal Bulvari Balikhisar Mah, Ankara 6750 Türkiye",2
1393,Saffron Ankara,3.6,36,"G.M.K. Bulvari Neyzen Tevfik Sok. No:7, Ankara Türkiye",7
2931,LUGAL,1.5,80,"Noktalı Sok. No:1 Kavaklıdere, Çankaya, Ankara 06700 Türkiye",10
466,Sarr Tac Mahal Hotel,1.6,13,"İstanbul Cad. No:14 Ulus/İsmetpaşa, Altındağ, Ankara 06360 Türkiye",7
1971,LUGAL,2.3,80,"Noktalı Sok. No:1 Kavaklıdere, Çankaya, Ankara 06700 Türkiye",7
220,Ankara Regency Hotel,2.6,12,"Selanik Cad. No:37 Kızılay, Ankara Türkiye",10
953,Kayra Hotel,0.0,67,"Kocatepe Mahallesi Bayındir 2 Sokak No:46 Kızılay, Ankara 06420 Türkiye",5
1433,Zarina Butik Hotel,1.3,10,"Gazi Mahallesi, Çatallı Sk. No: 25 Yenimahalle, Ankara 06560 Türkiye",7
2425,Ankara Prenses Hotel,1.2,4,"Haci Bayram Mahallesi, Bestepeler Sk. No:2. Altındag, Ankara 06110 Türkiye",2
101,TEDAŞ Misafirhanesi,2.1,4,"R Blok İnönü Bulvarı No: 27 Çankaya, Bahçelievler, Ankara Türkiye",1
58,Ontur Butik Otel,0.6,33,"Kenedy Cad. No:144 100.Yıl, Ankara Türkiye",8
1543,concept house,3.4,3,"BÜLBÜLDERESİ CAD 31 NM çankaya, Ankara 06660 Türkiye",7
2492,Yildiz Hotel,1.7,1,"Esdost Sokak No:4 Ulus, Ankara 06000 Türkiye",9
2376,Eyna Hotel,3.0,5,"Istanbul Caddesi No:88 Iskitler, Ankara 06070 Türkiye",3
1039,Nesta Boutique Hotel,1.0,19,"Ugur Mumcu Cad. Kiz Kulesi Sok. No 36, Ankara 06610 Türkiye",2
2339,Kocatepe Hotel,1.0,23,"Mesrutiyet Cd. 33, Ankara 06420 Türkiye",6
905,Türkiye Emekliler Derneği Misafirhanesi,3.5,4,"Kültür Mahallesi, Dr. Mediha Eldem Sk. No: 49 Çankaya, Kızılay, Ankara Türkiye",7
3160,Rescate Boutique Hotel,1.7,40,"Rabindranath Tagore Cad No:80 Yildiz, Ankara 06560 Türkiye",9
549,Ankara Gold Otel,0.8,18,"Güfte Sok. No:4 Kavaklıdere, Çankaya, Ankara Türkiye",10
1309,Otel Mithat,3.0,103,"Opera Meydanı Tavus Sok. No:2 Ulus, Altındağ, Ankara 06050 Türkiye",3
